model_08,displ_08,cyl_08,trans_08,drive_08,fuel_08,veh_class_08,air_pollut_08,city_mpg_08,hwy_mpg_08,cmb_mpg_08,greenhouse_08,smartway_08,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
TOYOTA Camry,2.4,4.0,Man-5,2WD,Gasoline,midsize car,7.0,21.0,31.0,25.0,7.0,yes,TOYOTA Camry,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5.0,22.0,33.0,26.0,5.0,No
TOYOTA Camry,2.4,4.0,Auto-L5,2WD,Gasoline,midsize car,7.0,21.0,31.0,25.0,7.0,yes,TOYOTA Camry,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7.0,29.0,41.0,34.0,8.0,Yes
TOYOTA Camry,2.4,4.0,Auto-L5,2WD,Gasoline,midsize car,7.0,21.0,31.0,25.0,7.0,yes,TOYOTA Camry,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5.0,22.0,33.0,26.0,5.0,No
TOYOTA Camry,3.5,6.0,Auto-S6,2WD,Gasoline,midsize car,7.0,19.0,28.0,22.0,6.0,yes,TOYOTA Camry,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7.0,29.0,41.0,34.0,8.0,Yes
TOYOTA Camry,3.5,6.0,Auto-S6,2WD,Gasoline,midsize car,7.0,19.0,28.0,22.0,6.0,yes,TOYOTA Camry,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5.0,22.0,33.0,26.0,5.0,No
TOYOTA Corolla,1.8,4.0,Auto-L4,2WD,Gasoline,small car,7.0,26.0,35.0,29.0,8.0,yes,TOYOTA Corolla,1.8,4.0,CVT,2WD,Gasoline,midsize car,3.0,28.0,36.0,32.0,7.0,Yes
TOYOTA Corolla,1.8,4.0,Auto-L4,2WD,Gasoline,small car,7.0,26.0,35.0,29.0,8.0,yes,TOYOTA Corolla,1.8,4.0,Man-6,2WD,Gasoline,midsize car,3.0,27.0,35.0,30.0,7.0,Yes
TOYOTA Corolla,1.8,4.0,Auto-L4,2WD,Gasoline,small car,7.0,26.0,35.0,29.0,8.0,yes,TOYOTA Corolla,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,3.0,28.0,35.0,31.0,7.0,Yes
TOYOTA Corolla,1.8,4.0,Man-5,2WD,Gasoline,small car,7.0,28.0,37.0,31.0,9.0,yes,TOYOTA Corolla,1.8,4.0,CVT,2WD,Gasoline,midsize car,3.0,28.0,36.0,32.0,7.0,Yes
TOYOTA Corolla,1.8,4.0,Man-5,2WD,Gasoline,small car,7.0,28.0,37.0,31.0,9.0,yes,TOYOTA Corolla,1.8,4.0,Man-6,2WD,Gasoline,midsize car,3.0,27.0,35.0,30.0,7.0,Yes
TOYOTA Corolla,1.8,4.0,Man-5,2WD,Gasoline,small car,7.0,28.0,37.0,31.0,9.0,yes,TOYOTA Corolla,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,3.0,28.0,35.0,31.0,7.0,Yes
TOYOTA Land Cruiser,5.7,8.0,Auto-S6,4WD,Gasoline,SUV,7.0,13.0,18.0,15.0,3.0,no,TOYOTA Land Cruiser,5.7,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3.0,13.0,18.0,15.0,2.0,No
TOYOTA RAV4,2.4,4.0,Auto-L4,2WD,Gasoline,SUV,7.0,21.0,27.0,24.0,7.0,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,23.0,29.0,25.0,5.0,No
TOYOTA RAV4,2.4,4.0,Auto-L4,2WD,Gasoline,SUV,7.0,21.0,27.0,24.0,7.0,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,22.0,28.0,25.0,5.0,No
TOYOTA RAV4,2.4,4.0,Auto-L4,4WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6.0,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,23.0,29.0,25.0,5.0,No
TOYOTA RAV4,2.4,4.0,Auto-L4,4WD,Gasoline,SUV,7.0,20.0,25.0,22.0,6.0,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,22.0,28.0,25.0,5.0,No
TOYOTA RAV4,3.5,6.0,Auto-L5,2WD,Gasoline,SUV,7.0,19.0,27.0,22.0,6.0,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,23.0,29.0,25.0,5.0,No
TOYOTA RAV4,3.5,6.0,Auto-L5,2WD,Gasoline,SUV,7.0,19.0,27.0,22.0,6.0,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,22.0,28.0,25.0,5.0,No
TOYOTA RAV4,3.5,6.0,Auto-L5,4WD,Gasoline,SUV,7.0,19.0,26.0,21.0,6.0,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,23.0,29.0,25.0,5.0,No
TOYOTA RAV4,3.5,6.0,Auto-L5,4WD,Gasoline,SUV,7.0,19.0,26.0,21.0,6.0,yes,TOYOTA RAV4,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,22.0,28.0,25.0,5.0,No
TOYOTA Sequoia,4.7,8.0,Auto-S5,2WD,Gasoline,SUV,7.0,14.0,17.0,15.0,3.0,no,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,2WD,Gasoline,standard SUV,5.0,13.0,17.0,15.0,2.0,No
TOYOTA Sequoia,4.7,8.0,Auto-S5,2WD,Gasoline,SUV,7.0,14.0,17.0,15.0,3.0,no,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,5.0,13.0,17.0,14.0,1.0,No
TOYOTA Sequoia,4.7,8.0,Auto-S5,4WD,Gasoline,SUV,7.0,13.0,16.0,14.0,2.0,no,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,2WD,Gasoline,standard SUV,5.0,13.0,17.0,15.0,2.0,No
TOYOTA Sequoia,4.7,8.0,Auto-S5,4WD,Gasoline,SUV,7.0,13.0,16.0,14.0,2.0,no,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,5.0,13.0,17.0,14.0,1.0,No
TOYOTA Sequoia,5.7,8.0,Auto-S6,2WD,Gasoline,SUV,7.0,14.0,19.0,15.0,3.0,no,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,2WD,Gasoline,standard SUV,5.0,13.0,17.0,15.0,2.0,No
TOYOTA Sequoia,5.7,8.0,Auto-S6,2WD,Gasoline,SUV,7.0,14.0,19.0,15.0,3.0,no,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,5.0,13.0,17.0,14.0,1.0,No
TOYOTA Sequoia,5.7,8.0,Auto-S6,4WD,Gasoline,SUV,7.0,13.0,18.0,15.0,3.0,no,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,2WD,Gasoline,standard SUV,5.0,13.0,17.0,15.0,2.0,No
TOYOTA Sequoia,5.7,8.0,Auto-S6,4WD,Gasoline,SUV,7.0,13.0,18.0,15.0,3.0,no,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,5.0,13.0,17.0,14.0,1.0,No
TOYOTA Tundra,4.7,8.0,Auto-S5,2WD,Gasoline,pickup,7.0,14.0,17.0,15.0,3.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,2WD,Gasoline,pickup,3.0,15.0,19.0,16.0,2.0,No
TOYOTA Tundra,4.7,8.0,Auto-S5,2WD,Gasoline,pickup,7.0,14.0,17.0,15.0,3.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,4WD,Gasoline,pickup,3.0,14.0,18.0,16.0,2.0,No
TOYOTA Tundra,4.7,8.0,Auto-S5,2WD,Gasoline,pickup,7.0,14.0,17.0,15.0,3.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,2WD,Gasoline,pickup,5.0,13.0,18.0,15.0,2.0,No
TOYOTA Tundra,4.7,8.0,Auto-S5,2WD,Gasoline,pickup,7.0,14.0,17.0,15.0,3.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,4WD,Gasoline,pickup,5.0,13.0,17.0,14.0,1.0,No
TOYOTA Tundra,4.7,8.0,Auto-S5,4WD,Gasoline,pickup,7.0,13.0,16.0,15.0,3.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,2WD,Gasoline,pickup,3.0,15.0,19.0,16.0,2.0,No
TOYOTA Tundra,4.7,8.0,Auto-S5,4WD,Gasoline,pickup,7.0,13.0,16.0,15.0,3.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,4WD,Gasoline,pickup,3.0,14.0,18.0,16.0,2.0,No
TOYOTA Tundra,4.7,8.0,Auto-S5,4WD,Gasoline,pickup,7.0,13.0,16.0,15.0,3.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,2WD,Gasoline,pickup,5.0,13.0,18.0,15.0,2.0,No
TOYOTA Tundra,4.7,8.0,Auto-S5,4WD,Gasoline,pickup,7.0,13.0,16.0,15.0,3.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,4WD,Gasoline,pickup,5.0,13.0,17.0,14.0,1.0,No
TOYOTA Tundra,5.7,8.0,Auto-S6,2WD,Gasoline,pickup,7.0,14.0,18.0,16.0,4.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,2WD,Gasoline,pickup,3.0,15.0,19.0,16.0,2.0,No
TOYOTA Tundra,5.7,8.0,Auto-S6,2WD,Gasoline,pickup,7.0,14.0,18.0,16.0,4.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,4WD,Gasoline,pickup,3.0,14.0,18.0,16.0,2.0,No
TOYOTA Tundra,5.7,8.0,Auto-S6,2WD,Gasoline,pickup,7.0,14.0,18.0,16.0,4.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,2WD,Gasoline,pickup,5.0,13.0,18.0,15.0,2.0,No
TOYOTA Tundra,5.7,8.0,Auto-S6,2WD,Gasoline,pickup,7.0,14.0,18.0,16.0,4.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,4WD,Gasoline,pickup,5.0,13.0,17.0,14.0,1.0,No
TOYOTA Tundra,5.7,8.0,Auto-S6,4WD,Gasoline,pickup,7.0,13.0,17.0,14.0,2.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,2WD,Gasoline,pickup,3.0,15.0,19.0,16.0,2.0,No
TOYOTA Tundra,5.7,8.0,Auto-S6,4WD,Gasoline,pickup,7.0,13.0,17.0,14.0,2.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,4WD,Gasoline,pickup,3.0,14.0,18.0,16.0,2.0,No
TOYOTA Tundra,5.7,8.0,Auto-S6,4WD,Gasoline,pickup,7.0,13.0,17.0,14.0,2.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,2WD,Gasoline,pickup,5.0,13.0,18.0,15.0,2.0,No
TOYOTA Tundra,5.7,8.0,Auto-S6,4WD,Gasoline,pickup,7.0,13.0,17.0,14.0,2.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,4WD,Gasoline,pickup,5.0,13.0,17.0,14.0,1.0,No
TOYOTA Tundra,4.0,6.0,Auto-S5,2WD,Gasoline,pickup,6.0,15.0,19.0,17.0,4.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,2WD,Gasoline,pickup,3.0,15.0,19.0,16.0,2.0,No
TOYOTA Tundra,4.0,6.0,Auto-S5,2WD,Gasoline,pickup,6.0,15.0,19.0,17.0,4.0,no,TOYOTA Tundra,4.6,8.0,SemiAuto-6,4WD,Gasoline,pickup,3.0,14.0,18.0,16.0,2.0,No
TOYOTA Tundra,4.0,6.0,Auto-S5,2WD,Gasoline,pickup,6.0,15.0,19.0,17.0,4.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,2WD,Gasoline,pickup,5.0,13.0,18.0,15.0,2.0,No
TOYOTA Tundra,4.0,6.0,Auto-S5,2WD,Gasoline,pickup,6.0,15.0,19.0,17.0,4.0,no,TOYOTA Tundra,5.7,8.0,SemiAuto-6,4WD,Gasoline,pickup,5.0,13.0,17.0,14.0,1.0,No
TOYOTA Yaris,1.5,4.0,Auto-L4,2WD,Gasoline,small car,7.0,29.0,35.0,31.0,9.0,yes,TOYOTA Yaris,1.5,4.0,Auto-4,2WD,Gasoline,small car,3.0,30.0,35.0,32.0,7.0,Yes
TOYOTA Yaris,1.5,4.0,Auto-L4,2WD,Gasoline,small car,7.0,29.0,35.0,31.0,9.0,yes,TOYOTA Yaris,1.5,4.0,Man-5,2WD,Gasoline,small car,3.0,30.0,36.0,33.0,8.0,Yes
TOYOTA Yaris,1.5,4.0,Man-5,2WD,Gasoline,small car,7.0,29.0,36.0,32.0,9.0,yes,TOYOTA Yaris,1.5,4.0,Auto-4,2WD,Gasoline,small car,3.0,30.0,35.0,32.0,7.0,Yes
TOYOTA Yaris,1.5,4.0,Man-5,2WD,Gasoline,small car,7.0,29.0,36.0,32.0,9.0,yes,TOYOTA Yaris,1.5,4.0,Man-5,2WD,Gasoline,small car,3.0,30.0,36.0,33.0,8.0,Yes
VOLKSWAGEN Jetta,2.5,5.0,Man-5,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3.0,28.0,40.0,33.0,8.0,Yes
VOLKSWAGEN Jetta,2.5,5.0,Man-5,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5.0,28.0,38.0,32.0,7.0,Yes
VOLKSWAGEN Jetta,2.5,5.0,Man-5,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.8,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,6.0,No
VOLKSWAGEN Jetta,2.5,5.0,Man-5,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,2.0,4.0,AMS-6,2WD,Gasoline,small car,7.0,24.0,33.0,27.0,6.0,No
VOLKSWAGEN Jetta,2.5,5.0,Auto-S6,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3.0,28.0,40.0,33.0,8.0,Yes
VOLKSWAGEN Jetta,2.5,5.0,Auto-S6,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5.0,28.0,38.0,32.0,7.0,Yes
VOLKSWAGEN Jetta,2.5,5.0,Auto-S6,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.8,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,6.0,No
VOLKSWAGEN Jetta,2.5,5.0,Auto-S6,2WD,Gasoline,small car,9.5,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,2.0,4.0,AMS-6,2WD,Gasoline,small car,7.0,24.0,33.0,27.0,6.0,No
VOLKSWAGEN Jetta,2.0,4.0,Man-6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3.0,28.0,40.0,33.0,8.0,Yes
VOLKSWAGEN Jetta,2.0,4.0,Man-6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5.0,28.0,38.0,32.0,7.0,Yes
VOLKSWAGEN Jetta,2.0,4.0,Man-6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.8,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,6.0,No
VOLKSWAGEN Jetta,2.0,4.0,Man-6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,2.0,4.0,AMS-6,2WD,Gasoline,small car,7.0,24.0,33.0,27.0,6.0,No
VOLKSWAGEN Jetta,2.0,4.0,Auto-S6,2WD,Gasoline,small car,7.0,22.0,29.0,25.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3.0,28.0,40.0,33.0,8.0,Yes
VOLKSWAGEN Jetta,2.0,4.0,Auto-S6,2WD,Gasoline,small car,7.0,22.0,29.0,25.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5.0,28.0,38.0,32.0,7.0,Yes
VOLKSWAGEN Jetta,2.0,4.0,Auto-S6,2WD,Gasoline,small car,7.0,22.0,29.0,25.0,7.0,yes,VOLKSWAGEN Jetta,1.8,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,6.0,No
VOLKSWAGEN Jetta,2.0,4.0,Auto-S6,2WD,Gasoline,small car,7.0,22.0,29.0,25.0,7.0,yes,VOLKSWAGEN Jetta,2.0,4.0,AMS-6,2WD,Gasoline,small car,7.0,24.0,33.0,27.0,6.0,No
VOLKSWAGEN Jetta,2.5,5.0,Man-5,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3.0,28.0,40.0,33.0,8.0,Yes
VOLKSWAGEN Jetta,2.5,5.0,Man-5,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5.0,28.0,38.0,32.0,7.0,Yes
VOLKSWAGEN Jetta,2.5,5.0,Man-5,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.8,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,6.0,No
VOLKSWAGEN Jetta,2.5,5.0,Man-5,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,2.0,4.0,AMS-6,2WD,Gasoline,small car,7.0,24.0,33.0,27.0,6.0,No
VOLKSWAGEN Jetta,2.5,5.0,Auto-S6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3.0,28.0,40.0,33.0,8.0,Yes
VOLKSWAGEN Jetta,2.5,5.0,Auto-S6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5.0,28.0,38.0,32.0,7.0,Yes
VOLKSWAGEN Jetta,2.5,5.0,Auto-S6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,1.8,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,6.0,No
VOLKSWAGEN Jetta,2.5,5.0,Auto-S6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Jetta,2.0,4.0,AMS-6,2WD,Gasoline,small car,7.0,24.0,33.0,27.0,6.0,No
VOLKSWAGEN Passat,2.0,4.0,Auto-S6,2WD,Gasoline,midsize car,7.0,19.0,28.0,22.0,6.0,yes,VOLKSWAGEN Passat,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,25.0,36.0,29.0,6.0,No
VOLKSWAGEN Passat,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7.0,21.0,29.0,24.0,7.0,yes,VOLKSWAGEN Passat,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,25.0,36.0,29.0,6.0,No
VOLKSWAGEN Passat,3.6,6.0,Auto-S6,4WD,Gasoline,midsize car,6.0,16.0,24.0,19.0,5.0,no,VOLKSWAGEN Passat,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,25.0,36.0,29.0,6.0,No
VOLKSWAGEN Passat,3.6,6.0,Auto-S6,2WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6.0,no,VOLKSWAGEN Passat,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,25.0,36.0,29.0,6.0,No
VOLVO S60,2.5,5.0,Auto-L5,4WD,Gasoline,small car,7.0,17.0,26.0,21.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7.0,25.0,36.0,29.0,6.0,No
VOLVO S60,2.5,5.0,Auto-L5,4WD,Gasoline,small car,7.0,17.0,26.0,21.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,32.0,26.0,5.0,No
VOLVO S60,2.5,5.0,Auto-L5,4WD,Gasoline,small car,7.0,17.0,26.0,21.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,33.0,26.0,5.0,No
VOLVO S60,2.5,5.0,Auto-S5,4WD,Gasoline,small car,7.0,18.0,26.0,21.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7.0,25.0,36.0,29.0,6.0,No
VOLVO S60,2.5,5.0,Auto-S5,4WD,Gasoline,small car,7.0,18.0,26.0,21.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,32.0,26.0,5.0,No
VOLVO S60,2.5,5.0,Auto-S5,4WD,Gasoline,small car,7.0,18.0,26.0,21.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,33.0,26.0,5.0,No
VOLVO S60,2.5,5.0,Auto-L5,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7.0,25.0,36.0,29.0,6.0,No
VOLVO S60,2.5,5.0,Auto-L5,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,32.0,26.0,5.0,No
VOLVO S60,2.5,5.0,Auto-L5,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,33.0,26.0,5.0,No
VOLVO S60,2.5,5.0,Auto-S5,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7.0,25.0,36.0,29.0,6.0,No
VOLVO S60,2.5,5.0,Auto-S5,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,32.0,26.0,5.0,No
VOLVO S60,2.5,5.0,Auto-S5,2WD,Gasoline,small car,7.0,19.0,27.0,22.0,6.0,yes,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,33.0,26.0,5.0,No
VOLVO S60,2.4,5.0,Auto-S5,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6.0,no,VOLVO S60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7.0,25.0,36.0,29.0,6.0,No
VOLVO S60,2.4,5.0,Auto-S5,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6.0,no,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,32.0,26.0,5.0,No
VOLVO S60,2.4,5.0,Auto-S5,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6.0,no,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,33.0,26.0,5.0,No
VOLVO S60,2.4,5.0,Man-6,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6.0,no,VOLVO S60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7.0,25.0,36.0,29.0,6.0,No
VOLVO S60,2.4,5.0,Man-6,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6.0,no,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,32.0,26.0,5.0,No
VOLVO S60,2.4,5.0,Man-6,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6.0,no,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,33.0,26.0,5.0,No
VOLVO XC 90,3.2,6.0,Auto-S6,2WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,2WD,Gasoline,standard SUV,5.0,22.0,29.0,25.0,5.0,No
VOLVO XC 90,3.2,6.0,Auto-S6,2WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,5.0,22.0,28.0,24.0,5.0,No
VOLVO XC 90,3.2,6.0,Auto-S6,2WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,5.0,20.0,27.0,23.0,5.0,No
VOLVO XC 90,3.2,6.0,Auto-S6,2WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,7.0,26.0,30.0,27.0,10.0,Elite
VOLVO XC 90,3.2,6.0,Auto-S6,2WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Electricity,standard SUV,7.0,63.0,61.0,62.0,10.0,Elite
VOLVO XC 90,3.2,6.0,Auto-S6,4WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,2WD,Gasoline,standard SUV,5.0,22.0,29.0,25.0,5.0,No
VOLVO XC 90,3.2,6.0,Auto-S6,4WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,5.0,22.0,28.0,24.0,5.0,No
VOLVO XC 90,3.2,6.0,Auto-S6,4WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,5.0,20.0,27.0,23.0,5.0,No
VOLVO XC 90,3.2,6.0,Auto-S6,4WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,7.0,26.0,30.0,27.0,10.0,Elite
VOLVO XC 90,3.2,6.0,Auto-S6,4WD,Gasoline,SUV,7.0,14.0,20.0,16.0,4.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Electricity,standard SUV,7.0,63.0,61.0,62.0,10.0,Elite
VOLVO XC 90,4.4,8.0,Auto-S6,4WD,Gasoline,SUV,7.0,13.0,19.0,15.0,3.0,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,2WD,Gasoline,standard SUV,5.0,22.0,29.0,25.0,5.0,No
